approx_kl,clip_fraction,deterministic_epsilon_ask_mean,deterministic_epsilon_ask_state_std,deterministic_epsilon_bid_mean,deterministic_epsilon_bid_state_std,entropy_proxy,latent_sigma_ask,latent_sigma_bid,network_architecture,policy_loss,seed,training_step,value_loss
-0.00030136628192849456,0.0,0.02522657489678703,0.264197504651537,-0.0565222496441446,0.30737299403285384,4.223995006084442,0.9918102622032166,0.9891665577888489,separate_actor_critic,8.382329251617193e-05,2,149504,16706.437768554686
0.0018834080779924988,0.0,0.03141242004244421,0.11481252534910107,0.3672376929758451,0.12021592921673287,4.219532668590546,0.9904935956001282,0.9872676730155945,separate_actor_critic,-0.0012547975406050683,2,199680,21227.07236328125
-0.00022628922015428544,0.0,-0.042243190357112326,0.11498092017120452,0.32487870606665425,0.12430012550832435,4.21848726272583,0.9891923069953918,0.9873514771461487,separate_actor_critic,-0.00048684923094697294,2,204800,22513.042822265626
-0.0008009417506400496,0.00029296875,-0.044463961544440676,0.10608410561844536,-0.12347795359330634,0.21576987833322117,4.24890273809433,0.9991199970245361,0.9970033764839172,separate_actor_critic,-0.001173597713932395,3,10240,677.5987915039062
-0.0008110719441901893,0.00439453125,-0.2818076697285645,0.09979987485911448,-0.03561158506610156,0.19194325960828917,4.233491730690003,0.9951887726783752,0.9903767108917236,separate_actor_critic,-0.0026853093644604088,3,20480,352.8042922973633
-0.00015650875866413116,0.0,0.13560351129898873,0.11479012895712988,-0.11234089362491757,0.22791885081483362,4.232820236682892,0.9941192865371704,0.9902104139328003,separate_actor_critic,-0.000629392103292048,3,39936,2808.8127685546874
0.01072866325848736,0.03310546875,-0.3049203732170356,0.059289705625185735,-0.01335362660764263,0.1848191394397105,4.2278310537338255,0.9963701367378235,0.9865859150886536,separate_actor_critic,-0.007515261624939739,3,60416,425.7918731689453
0.0011179471446666866,0.0,-0.33433895462598556,0.032157951608117186,-0.3982242370227304,0.2180984276667185,4.220388352870941,0.9911885857582092,0.9870061874389648,separate_actor_critic,-0.0017614613054320217,3,100352,2629.068490600586
-0.00010068448609672487,0.0,0.2417156566412021,0.030580826349198887,0.5990058553906588,0.24708229289802408,4.224738550186157,0.9920589923858643,0.9870615601539612,separate_actor_critic,-0.00043201404623687266,3,149504,1005.1789367675781
-0.0002664391475263983,0.0,0.2003053323771709,0.04569332710656667,0.5127463190183521,0.3198055328921957,4.2197103023529055,0.9879722595214844,0.9854391813278198,separate_actor_critic,-0.002779047307558358,3,199680,8138.592846679688
0.0008733234368264675,9.765625e-05,0.4890548963577319,0.04396999333247209,0.6908491270568891,0.24057221357483174,4.218763208389282,0.9878844618797302,0.9849717617034912,separate_actor_critic,-0.0029648659285157917,3,204800,7562.412463378906
0.007839706825325265,0.0384765625,0.06672045291902927,0.057865028542652124,0.15364222085724275,0.060203855165272116,4.252567625045776,0.9999348521232605,0.9975410103797913,separate_actor_critic,-0.0034466754179447888,4,10240,910.8824493408204
0.019894449150888248,0.16904296875,-0.1986067611216687,0.08111377719819096,0.10957708513597027,0.12120923759920754,4.247902417182923,0.9919314980506897,0.9956832528114319,separate_actor_critic,0.0035857004579156635,4,20480,158.62121086120607
0.004059456201503053,0.002734375,0.22619125252135863,0.09652461548288983,0.12371197970172104,0.11798466509704333,4.240270793437958,0.9902641177177429,0.9939161539077759,separate_actor_critic,-0.0032649045344442127,4,39936,765.2225448608399
