baseline,baseline_value,metric,paired_difference,seed,treatment,treatment_value
gamma_current_ppo,0.6171727951726113,epsilon_ask_std,0.005362685109633003,3,unit_current_ppo,0.6225354802822443
gamma_current_ppo,0.9927306771278381,latent_std_bid,0.0003052353858947754,3,unit_current_ppo,0.9930359125137329
gamma_current_ppo,0.9999285936355591,latent_std_ask,0.003573775291442871,3,unit_current_ppo,1.003502368927002
gamma_current_ppo,0.1661920169130854,analytical_error_bid,-0.034184827359746955,3,unit_current_ppo,0.13200718955333846
gamma_current_ppo,0.15722571197107474,analytical_error_ask,-0.038187522412862066,3,unit_current_ppo,0.11903818955821267
gamma_current_ppo,0.28222590782034856,deterministic_mean_epsilon_bid,-0.05426354054075022,3,unit_current_ppo,0.22796236727959834
gamma_current_ppo,0.25661369055223004,deterministic_mean_epsilon_ask,-0.061967340435546164,3,unit_current_ppo,0.19464635011668388
gamma_current_ppo,0.43045103443059035,mean_market_share,0.017020119415563584,3,unit_current_ppo,0.44747115384615394
gamma_current_ppo,0.28527943042063236,mean_spread_pnl,-0.15014258601831063,3,unit_current_ppo,0.13513684440232174
gamma_current_ppo,0.3401697058520465,spread_pnl_std,-0.1870940298875296,3,unit_current_ppo,0.15307567596451688
gamma_current_ppo,18.2609584685664,inventory_std,-8.41104000783662,3,unit_current_ppo,9.84991846072978
gamma_current_ppo,28.07331247024292,mean_total_pnl,0.9511885385244412,3,unit_current_ppo,29.024501008767363
gamma_current_ppo,0.05398713936585177,mean_total_pnl_per_step,0.0018292087279316235,3,unit_current_ppo,0.05581634809378339
gamma_current_ppo,39.862891825459045,gross_investor_volume_mean,-19.862891825459045,3,unit_current_ppo,20.0
gamma_current_ppo,6.376673301496235,gross_investor_volume_std,-6.376673301496235,3,unit_current_ppo,0.0
gamma_current_ppo,0.10896649855299081,net_investor_flow_mean,-0.0816588062452985,3,unit_current_ppo,0.027307692307692307
gamma_current_ppo,10.966314885263373,net_investor_flow_std,-6.467081567931743,3,unit_current_ppo,4.49923331733163
gamma_current_ppo,10.013653846153845,n_buy_mean,0.0,3,unit_current_ppo,10.013653846153845
gamma_current_ppo,2.249616658665815,n_buy_std,0.0,3,unit_current_ppo,2.249616658665815
gamma_current_ppo,9.986346153846155,n_sell_mean,0.0,3,unit_current_ppo,9.986346153846155
gamma_current_ppo,2.249616658665815,n_sell_std,0.0,3,unit_current_ppo,2.249616658665815
gamma_current_ppo,8.582884615384616,n_rl_won_mean,0.36653846153846104,3,unit_current_ppo,8.949423076923077
gamma_current_ppo,7.155071852710888,n_rl_won_std,0.022078029825391532,3,unit_current_ppo,7.17714988253628
gamma_current_ppo,11.417115384615384,n_competitor_won_mean,-0.36653846153846104,3,unit_current_ppo,11.050576923076923
gamma_current_ppo,7.155071852710888,n_competitor_won_std,0.022078029825391532,3,unit_current_ppo,7.17714988253628
gamma_current_ppo,0.3621427244651387,market_share_std,-0.0032852303383247294,3,unit_current_ppo,0.35885749412681395
gamma_current_ppo,0.22134914277246795,mean_epsilon_bid,-0.31809178866003307,4,unit_current_ppo,-0.09674264588756509
gamma_current_ppo,0.3425226253837732,mean_epsilon_ask,0.38214465126203256,4,unit_current_ppo,0.7246672766458058
gamma_current_ppo,0.6074890792763045,epsilon_bid_std,0.016126217396062015,4,unit_current_ppo,0.6236152966723665
gamma_current_ppo,0.5741311409625763,epsilon_ask_std,-0.188282065745648,4,unit_current_ppo,0.38584907521692835
gamma_current_ppo,0.9942916631698608,latent_std_bid,0.0034711360931396484,4,unit_current_ppo,0.9977627992630005
gamma_current_ppo,0.9967319369316101,latent_std_ask,0.0029938817024230957,4,unit_current_ppo,0.9997258186340332
gamma_current_ppo,0.22134914277246795,analytical_error_bid,-0.12460649688490286,4,unit_current_ppo,0.09674264588756509
gamma_current_ppo,0.3425226253837732,analytical_error_ask,0.38214465126203256,4,unit_current_ppo,0.7246672766458058
gamma_current_ppo,0.3475534596408789,deterministic_mean_epsilon_bid,-0.5101138128856054,4,unit_current_ppo,-0.16256035324472648
gamma_current_ppo,0.5093843993200705,deterministic_mean_epsilon_ask,0.3790014829314673,4,unit_current_ppo,0.8883858822515378
