count,epsilon_ask,epsilon_bid,epsilon_skew,inventory,mode,scenario,std_setting
2600,0.27468003706003613,0.0004907329955424827,-0.2741893040644936,33.23733822455773,deterministic,random,0.5
2600,-0.07406394685415972,0.026578001059343267,0.10064194791350299,-33.16786015803997,stochastic,random,0.5
2600,-0.07311324597532243,-0.011970953019716455,0.06114229295560598,-20.26929613186763,stochastic,random,0.5
2600,-0.027503287812153127,0.0005480148819445345,0.02805130269409766,-12.930728926658631,stochastic,random,0.5
2600,-0.007134425760551284,0.004494549679892281,0.011628975440443565,-6.4930002287717965,stochastic,random,0.5
2600,0.055142928136550695,-0.005987788690455581,-0.06113071682700628,-1.1445935454608676,stochastic,random,0.5
2600,0.0943211562603224,0.01016356181964511,-0.08415759444067729,2.9587178394886164,stochastic,random,0.5
2600,0.06784601791534582,-0.00792558060596303,-0.07577159852130885,8.069952541314638,stochastic,random,0.5
2600,0.08124408442585264,0.004905185312561046,-0.07633889911329159,14.340445786989653,stochastic,random,0.5
2600,0.13180019258603212,-0.01379633182395572,-0.14559652440998783,21.361159569666935,stochastic,random,0.5
2600,0.2063173465001343,0.0048230989277922515,-0.20149424757234205,33.74946845714862,stochastic,random,0.5
2600,0.02566150330221997,0.03754795309783031,0.011886449795610344,-30.760347480773927,deterministic,random,0.2
2600,0.0403498526616022,0.01577668729063589,-0.024573165370966307,-18.38070108780494,deterministic,random,0.2
2600,0.05153527993816309,0.019720108527108097,-0.031815171411055,-11.000737120921794,deterministic,random,0.2
2600,0.06553997566636938,0.014370366294259349,-0.051169609372110035,-4.984443648595076,deterministic,random,0.2
2600,0.10390052184175987,0.005112148078400283,-0.09878837376335958,0.09843483134692248,deterministic,random,0.2
2600,0.11945004902744236,0.003313015199696215,-0.11613703382774615,4.734294546842575,deterministic,random,0.2
2600,0.13845854725115575,0.0016347581554705707,-0.13682378909568518,9.888453124119685,deterministic,random,0.2
2600,0.16287085379545505,-0.003410402596793854,-0.16628125639224892,15.677762236228356,deterministic,random,0.2
2600,0.1709665951727388,-0.013412484313997153,-0.18437907948673596,22.51035256605882,deterministic,random,0.2
2600,0.2446621100214095,-0.0013294152968984026,-0.2459915253183079,34.400669887249286,deterministic,random,0.2
2600,0.035094844775381856,0.033601652394360054,-0.0014931923810217996,-30.88935527434716,stochastic,random,0.2
2600,0.037897782719989594,0.01532036337217925,-0.022577419347810344,-18.52939232312716,stochastic,random,0.2
2600,0.056536106609284896,0.016684780495494263,-0.03985132611379063,-11.251178438846882,stochastic,random,0.2
2600,0.06958707034573308,0.019460808600885615,-0.05012626174484747,-5.21712747500493,stochastic,random,0.2
2600,0.09902429222251298,0.004026010185267436,-0.09499828203724554,-0.2326995873179448,stochastic,random,0.2
2600,0.11414020755942776,0.008015966554017862,-0.1061242410054099,4.39758810364283,stochastic,random,0.2
2600,0.1380954112499715,-0.0001416244808150133,-0.13823703573078652,9.552411890763503,stochastic,random,0.2
2600,0.152105048662365,-0.002863509069306579,-0.15496855773167156,15.442652846849882,stochastic,random,0.2
2600,0.1625830846111841,-0.012138247493343302,-0.1747213321045274,22.282697453865637,stochastic,random,0.2
2600,0.23599990897638445,-0.002282497732174726,-0.23828240670855919,34.41243771919837,stochastic,random,0.2
2600,0.006723074560555128,0.035019362401933624,0.028296287841378498,-30.008064107161303,deterministic,random,0.1
2600,0.012811094438657165,0.014867910168921718,0.0020568157302645537,-17.720123540804938,deterministic,random,0.1
2600,0.024936342833635324,0.023300388009072498,-0.0016359548245628293,-10.29488632770685,deterministic,random,0.1
2600,0.038435418476852085,0.019860461838543415,-0.018574956638308673,-3.9983492028713226,deterministic,random,0.1
2600,0.10992489974981604,0.008780737181838888,-0.10114416256797715,1.2125738591761686,deterministic,random,0.1
2600,0.15321355356584088,0.0018979620152654556,-0.15131559155057542,6.062202924214876,deterministic,random,0.1
2600,0.206637976108692,0.001915552979335189,-0.20472242312935682,11.335287343538724,deterministic,random,0.1
2600,0.23086215276163644,-0.009406102947317637,-0.24026825570895408,17.26397321004134,deterministic,random,0.1
2600,0.28454219432153666,-0.01935830904672352,-0.3039005033682602,24.297111239800085,deterministic,random,0.1
2600,0.4484606583104827,-0.017854285983798596,-0.46631494429428133,36.75838680047255,deterministic,random,0.1
2600,0.01055464148579631,0.03695612793113329,0.026401486445336977,-30.079125599494347,stochastic,random,0.1
2600,0.01035901434963587,0.015259771223141937,0.004900756873506068,-17.796813084528996,stochastic,random,0.1
2600,0.030386110813426338,0.018127345231455715,-0.012258765581970622,-10.391340137995206,stochastic,random,0.1
2600,0.03785783933114054,0.02268523794049263,-0.015172601390647918,-4.178383122315774,stochastic,random,0.1
2600,0.10767147772235779,0.007903037828778346,-0.09976843989357943,1.1168764183208426,stochastic,random,0.1
2600,0.14937356276142125,0.006417942346966951,-0.14295562041445428,6.08965511899728,stochastic,random,0.1
2600,0.20896124262300034,-0.0041568196386819745,-0.2131180622616823,11.392135276060838,stochastic,random,0.1
2600,0.23262703964379258,-0.007629292400838145,-0.24025633204463073,17.28014652949113,stochastic,random,0.1
2600,0.27954785747838634,-0.016941240364260292,-0.29648909784264665,24.22462340941796,stochastic,random,0.1
2600,0.44625379715806607,-0.01833404505515668,-0.46458784221322275,36.908147772275484,stochastic,random,0.1
2600,-0.10066754021180364,-0.06364867791891671,0.03701886229288693,-22.15544340133667,deterministic,persistent_spread_only,learned
2600,-0.11558033452727473,-0.06264172421481747,0.052938610312457265,-12.828426141738891,deterministic,persistent_spread_only,learned
2600,-0.11876181540580896,-0.06391214622399555,0.054849669181813415,-8.169598636627198,deterministic,persistent_spread_only,learned
2600,-0.12109778530179308,-0.06375814217859163,0.05733964312320145,-4.553662570990049,deterministic,persistent_spread_only,learned
2600,-0.11943764437419864,-0.060000064929660694,0.059437579444537945,-1.309691387806558,deterministic,persistent_spread_only,learned
2600,-0.11714083789346309,-0.059627326493366405,0.05751351140009669,1.8170381405834968,deterministic,persistent_spread_only,learned
2600,-0.1183846140309022,-0.060835228863960276,0.05754938516694193,5.093150589282696,deterministic,persistent_spread_only,learned
2600,-0.11636150536055748,-0.06446286593492215,0.051898639425635336,8.758210804462433,deterministic,persistent_spread_only,learned
2600,-0.11321051426518422,-0.06307211198485814,0.05013840228032607,13.328281684288612,deterministic,persistent_spread_only,learned
2600,-0.09651515838618462,-0.061341680627172955,0.03517347775901166,22.578340351398175,deterministic,persistent_spread_only,learned
2600,-0.05004138965623077,-0.039677682383447134,0.010363707272783637,-32.91025417034442,stochastic,persistent_spread_only,learned
2600,-0.09251088307021955,-0.031352161741927446,0.061158721328292115,-20.432040548324586,stochastic,persistent_spread_only,learned
2600,-0.07629851770137276,-0.024987567472372366,0.05131095022900039,-13.772184375983018,stochastic,persistent_spread_only,learned
2600,-0.05445403792922242,-0.040588375962822915,0.013865661966399505,-8.09538168320289,stochastic,persistent_spread_only,learned
2600,-0.0673580085989446,-0.041261760670682775,0.026096247928261828,-2.9606028586167557,stochastic,persistent_spread_only,learned
2600,-0.08562647838165643,-0.06352202018687071,0.022104458194785716,1.4965607391885278,stochastic,persistent_spread_only,learned
2600,-0.07024696770198016,-0.03328505726607266,0.036961910435907505,6.73835948742353,stochastic,persistent_spread_only,learned
2600,-0.08370238864597362,-0.037789462301298045,0.045912926344675586,12.676354900140028,stochastic,persistent_spread_only,learned
2600,-0.06428074395946728,-0.026419156068463612,0.03786158789100367,19.53925221993373,stochastic,persistent_spread_only,learned
2600,-0.03816671515570936,-0.029601324358059525,0.008565390797649832,32.50308610329261,stochastic,persistent_spread_only,learned
2600,-0.10143877301078576,-0.061469874001967795,0.03996889900881797,-22.088206783808193,deterministic,persistent_spread_only,1.0
2600,-0.11851175338173142,-0.06322665222777198,0.055285101153959446,-12.784904919771048,deterministic,persistent_spread_only,1.0
2600,-0.12094499192128962,-0.06363217473925593,0.05731281718203368,-8.14305262363874,deterministic,persistent_spread_only,1.0
2600,-0.12340864988760307,-0.06394067398773937,0.059467975899863704,-4.538178690671921,deterministic,persistent_spread_only,1.0
2600,-0.12163498135283589,-0.060276127088671694,0.0613588542641642,-1.31252267865679,deterministic,persistent_spread_only,1.0
2600,-0.11973377710351576,-0.05977545140669323,0.059958325696822544,1.8164872560076988,deterministic,persistent_spread_only,1.0
2600,-0.12042738023858804,-0.06077411512736804,0.059653265111219995,5.07288060105764,deterministic,persistent_spread_only,1.0
2600,-0.11823224858452494,-0.06394423426773686,0.054288014316788084,8.72565648647455,deterministic,persistent_spread_only,1.0
2600,-0.11522536940156267,-0.0630108675117103,0.052214501889852376,13.275983910927406,deterministic,persistent_spread_only,1.0
2600,-0.09695299478820883,-0.05846255743302978,0.038490437355179055,22.495071204992442,deterministic,persistent_spread_only,1.0
